Date,Open,High,Low,Close,Adj Close,Volume
2019-03-18,62.680000,62.820000,62.419998,62.669998,61.696033,3355800
2019-03-19,62.900002,63.099998,62.619999,62.869999,61.892925,5318000
2019-03-20,62.509998,63.240002,61.950001,62.689999,61.715721,11815800
2019-03-21,61.980000,62.779999,61.900002,62.779999,61.804325,8753300
2019-03-22,61.799999,61.930000,60.810001,60.849998,59.904320,8321400
2019-03-25,60.459999,61.110001,60.450001,60.950001,60.002769,5212200
2019-03-26,61.020000,61.240002,60.660000,60.939999,59.992920,2983500
2019-03-27,60.970001,61.250000,60.689999,60.889999,59.943699,5560000
2019-03-28,61.160000,61.349998,60.820000,61.259998,60.307949,3100200
2019-03-29,62.090000,62.549999,61.869999,62.430000,61.459766,10658500
2019-04-01,63.270000,63.500000,62.990002,63.349998,62.365467,4755300
2019-04-02,63.270000,63.330002,62.970001,63.119999,62.139042,3576200
2019-04-03,63.720001,64.160004,63.410000,63.540001,62.552517,7579300
2019-04-04,63.689999,64.260002,63.610001,64.190002,63.192413,5272900
2019-04-05,64.519997,64.930000,64.440002,64.919998,63.911064,4684000
2019-04-08,64.739998,64.989998,64.419998,64.849998,63.842159,4702400
2019-04-09,64.879997,65.010002,64.739998,64.820000,63.812626,3582100
2019-04-10,64.910004,65.010002,64.620003,64.959999,63.950447,2748800
2019-04-11,64.300003,64.330002,63.910000,64.099998,63.103809,3615000
2019-04-12,65.040001,65.220001,64.870003,65.029999,64.019363,5174800
2019-04-15,64.570000,64.570000,63.720001,64.000000,63.005367,4998900
2019-04-16,64.769997,64.839996,64.470001,64.720001,63.714180,2983500
2019-04-17,65.190002,65.250000,64.720001,64.870003,63.861851,7598300
2019-04-18,64.839996,65.010002,64.559998,64.889999,63.881531,6202500
2019-04-22,64.150002,64.430000,63.910000,64.379997,63.379459,4085200
2019-04-23,64.169998,64.599998,64.139999,64.410004,63.408997,7673700
2019-04-24,64.230003,64.230003,63.439999,63.570000,62.582050,6810000
2019-04-25,63.029999,63.290001,62.689999,63.259998,62.276863,3023800
2019-04-26,63.459999,63.619999,63.119999,63.560001,62.572205,3128800
2019-04-29,63.660000,63.810001,63.590000,63.720001,62.729721,2179200
2019-04-30,63.500000,63.799999,63.180000,63.520000,62.532825,5778300
2019-05-01,63.730000,64.489998,63.360001,63.410000,62.424534,5808100
2019-05-02,63.500000,63.930000,63.090000,63.480000,62.493450,3863200
2019-05-03,64.089996,64.620003,64.050003,64.580002,63.576359,3684500
2019-05-06,61.630001,62.860001,61.590000,62.720001,61.745258,9614500
2019-05-07,61.820000,61.849998,60.389999,60.810001,59.864944,8795300
2019-05-08,60.880001,61.259998,60.490002,60.750000,59.805874,7267700
2019-05-09,59.119999,60.180000,58.630001,59.740002,58.811573,13634100
2019-05-10,60.029999,60.419998,59.119999,60.130001,59.195511,6979400
2019-05-13,58.049999,58.320000,57.459999,57.840000,56.941097,13706300
2019-05-14,58.799999,59.150002,58.450001,58.810001,57.896027,6666500
2019-05-15,58.990002,59.509998,58.860001,59.349998,58.427631,6651800
2019-05-16,59.630001,59.970001,59.480000,59.590000,58.663906,4915800
